Rank	Δ	Country or territory	HDI value	% annual growth (2010–2022)
93	Increase (5)	 Algeria	0.745	Increase 0.27%
94	Increase (7)	 Turkmenistan	0.744	Increase 0.52%
95	Increase (27)	 Guyana	0.742	Increase 1.11%
96	Decrease (2)	 Mongolia	0.741	Increase 0.48%
97	Increase (8)	 Dominica	0.740	Increase 0.06%
98	Increase (5)	 Tonga	0.739	Increase 0.35%
99	Decrease (3)	 Jordan	0.736	Increase 0.10%
100	Decrease (18)	 Ukraine	0.734	Decrease 0.35%
101	Increase (1)	 Tunisia	0.732	Increase 0.22%
102	Increase (17)	 Marshall Islands	0.731	NA[a]
102	Decrease (6)	 Paraguay	0.731	Increase 0.36%
104	Increase (2)	 Fiji	0.729	Increase 0.35%
105	Increase (11)	 Egypt	0.728	Increase 0.73%
106	Increase (6)	 Uzbekistan	0.727	Increase 0.62%
107	Increase (7)	 Vietnam	0.726	Increase 0.60%
108	Decrease (10)	 Saint Lucia	0.725	Decrease 0.07%
109	Decrease (21)	 Lebanon	0.723	Decrease 0.29%
110	Decrease (6)	 South Africa	0.717	Increase 0.50%
111	Decrease (2)	 Palestine	0.716	Increase 0.33%
112	Increase (1)	 Indonesia	0.713	Increase 0.56%
113	Increase (2)	 Philippines	0.710	Increase 0.45%
114	Increase (5)	 Botswana	0.708	Increase 0.69%
115	Decrease (7)	 Jamaica	0.706	Decrease 0.06%
116	Decrease (7)	 Samoa	0.702	Decrease 0.02%
117	Increase (1)	 Kyrgyzstan	0.701	Increase 0.49%
118	Decrease (11)	 Belize	0.700	Decrease 0.23%
119	Decrease (39)	 Venezuela	0.699	Decrease 0.68%
120	Increase (5)	 Morocco	0.698	Increase 1.21%
120	Decrease (1)	 Bolivia	0.698	Increase 0.45%
122	Increase (9)	 Nauru	0.696	Increase 1.84%
123	Decrease (6)	 Gabon	0.693	Increase 0.46%
124	Decrease (13)	 Suriname	0.690	Decrease 0.07%
125	Increase (10)	 Bhutan	0.681	Increase 1.32%
126	Increase (2)	 Tajikistan	0.679	Increase 0.61%
127	Decrease (4)	 El Salvador	0.674	Increase 0.21%
128	Decrease (3)	 Iraq	0.673	Increase 0.57%
129	Increase (12)	 Bangladesh	0.670	Increase 1.54%
130	Steady	 Nicaragua	0.669	Increase 0.76%
131	Decrease (7)	 Cape Verde	0.661	Increase 0.15%
132	Decrease (7)	 Tuvalu	0.653	Increase 0.39%
133	Decrease (4)	 Equatorial Guinea	0.650	Increase 0.54%
134	Increase (4)	 India	0.644	Increase 0.99%
135	Decrease (4)	 Micronesia	0.634	Decrease 0.13%
136	Decrease (3)	 Guatemala	0.629	Increase 0.21%
137	Decrease (2)	 Kiribati	0.628	Increase 0.61%
138	Increase (1)	 Honduras	0.624	Increase 0.38%
139	Increase (2)	 Laos	0.620	Increase 0.90%
140	Increase (4)	 Vanuatu	0.614	Increase 0.50%
141	Increase (2)	 São Tomé and Príncipe	0.613	Increase 0.86%
142	Increase (5)	 Eswatini	0.610	Increase 1.70%
142	Decrease (8)	 Namibia	0.610	Increase 0.36%
144	Increase (10)	 Myanmar	0.608	Increase 1.54%
145	Increase (1)	 Ghana	0.602	Increase 0.44%
146	Increase (3)	   Nepal	0.601	Increase 0.85%
146	Increase (2)	 Kenya	0.601	Increase 0.82%
148	Increase (2)	 Cambodia	0.600	Increase 0.85%
149	Decrease (10)	 Congo	0.593	Increase 0.17%
150	Decrease (5)	 Angola	0.591	Increase 1.14%
151	Increase (1)	 Cameroon	0.587	Increase 1.10%
152	Increase (3)	 Comoros	0.586	Increase 0.94%
153	Decrease (2)	 Zambia	0.569	Increase 0.63%
154	Increase (5)	 Papua New Guinea	0.568	Increase 1.12%
155	Decrease (18)	 Timor-Leste	0.566	Decrease 1.01%
156	Decrease (4)	 Solomon Islands	0.562	Increase 0.13%
157	Decrease (1)	 Syria	0.557	Decrease 1.42%
158	Decrease (1)	 Haiti	0.552	Increase 1.74%
159	Increase (2)	 Uganda	0.550	Increase 0.80%
159	Decrease (1)	 Zimbabwe	0.550	Increase 1.12%
161	Increase (5)	 Rwanda	0.548	Increase 1.02%
161	Increase (2)	 Nigeria	0.548	Increase 0.97%
163	Increase (2)	 Togo	0.547	Increase 1.29%
164	Decrease (3)	 Pakistan	0.540	Increase 0.71%
164	Decrease (4)	 Mauritania	0.540	Increase 0.51%
166	Increase (4)	 Ivory Coast	0.534	Increase 1.07%
167	Increase (2)	 Tanzania	0.532	Increase 0.64%
168	Steady	 Lesotho	0.521	Increase 0.86%
169	Increase (1)	 Senegal	0.517	Increase 0.80%
170	Decrease (6)	 Sudan	0.516	Increase 0.45%
171	Increase (4)	 Djibouti	0.515	Increase 1.67%
172	Increase (1)	 Malawi	0.508	Increase 0.81%
173	Decrease (7)	 Benin	0.504	Increase 0.39%
174	Increase (5)	 Gambia	0.495	Increase 0.82%
175	Steady	 Eritrea	0.493	Increase 0.62%
176	Increase (5)	 Ethiopia	0.492	Increase 1.55%
177	Steady	 Liberia	0.487	Increase 0.48%
177	Decrease (5)	 Madagascar	0.487	Decrease 0.02%
179	Decrease (1)	 Guinea-Bissau	0.483	Increase 0.76%
180	Steady	 DR Congo	0.481	Increase 1.06%
181	Increase (2)	 Guinea	0.471	Increase 1.06%
182	Decrease (8)	 Afghanistan	0.462	Increase 0.24%
183	Increase (1)	 Mozambique	0.461	Increase 1.04%
184	Increase (1)	 Sierra Leone	0.458	Increase 0.80%
185	Increase (2)	 Burkina Faso	0.438	Increase 1.37%
186	Decrease (5)	 Yemen	0.424	Decrease 1.30%
187	Decrease (1)	 Burundi	0.420	Increase 0.32%
188	Steady	 Mali	0.410	Increase 0.08%
189	Increase (2)	 Niger	0.394	Increase 1.34%
189	Steady	 Chad	0.394	Increase 0.66%
191	Steady	 Central African Republic	0.387	Increase 0.67%
192	Decrease (2)	 South Sudan	0.381	Decrease 0.53%
193	NA[b]	 Somalia	0.380	NA[c]

